,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
PHWSCBWNPZDYRI-UHFFFAOYSA-N,4.462,0.1482769,0.055705773,0.055705773,0.10420667,0.109489456,0.109422535,0.12692173,0.12424051,0.120376945,0.05340688,0.051618,0.05159828,0.05083102,0.05880268,0.06261066,0.054174,,0.053756,
PIICEJLVQHRZGT-UHFFFAOYSA-N,8.727,0.19297186,0.079537192,0.079537192,0.07228537,0.048553027,0.048558954,0.023656636,0.11507742,0.1374713,0.0413284,0.03863765,0.03863842,0.03557588,0.05382512,0.05806342,0.083688,0.105556758,0.075433,
PJGSXYOJTGTZAV-UHFFFAOYSA-N,5.728,0.1600197,0.067037702,0.067037702,0.108707756,0.09600952,0.09600014,0.10548146,0.16320221,0.1576122,0.03410063,0.03961046,0.03959911,0.03220496,0.04842588,0.04395886,0.064442,0.064743136,0.066619,
PJYTYJGMJDIKEJ-UHFFFAOYSA-N,5.75,0.16313586,0.063125702,0.063125702,0.10200973,0.08880942,0.08443253,0.10627679,0.15437274,0.14308813,0.03275385,,0.03630902,0.03229733,,,0.064374,0.078829969,0.065899,
PKAHQJNJPDVTDP-UHFFFAOYSA-N,5.55,0.1721755,0.06346504,0.06346504,0.12179025,0.11664374,0.11661869,0.12085816,0.1575609,0.15520896,0.03456782,0.04383771,0.04383918,0.03477414,0.04201845,0.03928647,0.062537,0.06574519,0.063548,
PKZJLOCLABXVMC-UHFFFAOYSA-N,5.528,0.16002713,0.064670911,0.064670911,0.10467446,0.10165744,0.10164189,0.1032879,0.16036628,0.14947014,0.03462968,0.04334319,0.04334434,0.03159432,0.04574616,0.04029153,0.069696,0.06920766,0.069093,
PLUBXMRUUVWRLT-UHFFFAOYSA-N,5.328,0.15392023,0.06186558,,0.1652936,0.17140514,0.17253923,0.16945033,0.1907579,0.19410841,0.04483666,,0.05569773,0.04563118,,,,,,
PMDCZENCAXMSOU-UHFFFAOYSA-N,8.15,0.20039019,0.079143393,0.079143393,0.13449225,0.11897908,0.1205498,0.13210799,0.18161857,0.17926374,0.04260231,0.0473554,0.0480736,0.04083517,0.05410534,0.05085839,0.078284,,0.080162,
PMRYVIKBURPHAH-UHFFFAOYSA-N,8.15,0.19201441,0.064990516,0.064990516,0.1060607,0.11832081,0.08722077,0.13098644,0.18460414,0.16860658,0.04046085,,0.03448363,0.04591785,,,0.063245,,0.059598,
PNPCRKVUWYDDST-UHFFFAOYSA-N,3.582,0.097338766,0.03099291,0.03099291,0.11454454,0.049371414,0.04432983,0.11570114,0.10451571,0.108964406,0.04330376,,0.03336367,0.035316,,,0.030816,0.028321435,0.042471,
